"Step","EXP00009 - metrics/accuracy_top1","EXP00009 - metrics/accuracy_top1__MIN","EXP00009 - metrics/accuracy_top1__MAX"
"1","0.30909","0.30909","0.30909"
"2","0.69466","0.69466","0.69466"
"3","0.7873","0.7873","0.7873"
"4","0.8354","0.8354","0.8354"
"5","0.88707","0.88707","0.88707"
"6","0.89797","0.89797","0.89797"
"7","0.91601","0.91601","0.91601"
"8","0.92822","0.92822","0.92822"
"9","0.94307","0.94307","0.94307"
"10","0.94645","0.94645","0.94645"
"11","0.94401","0.94401","0.94401"
"12","0.94833","0.94833","0.94833"
"13","0.94325","0.94325","0.94325"
"14","0.95152","0.95152","0.95152"
"15","0.95396","0.95396","0.95396"
"16","0.95847","0.95847","0.95847"
"17","0.95791","0.95791","0.95791"
"18","0.95453","0.95453","0.95453"
"19","0.96167","0.96167","0.96167"
"20","0.96392","0.96392","0.96392"
"21","0.96618","0.96618","0.96618"
"22","0.96449","0.96449","0.96449"
"23","0.96505","0.96505","0.96505"
"24","0.96524","0.96524","0.96524"
"25","0.96449","0.96449","0.96449"
"26","0.96956","0.96956","0.96956"
"27","0.96618","0.96618","0.96618"
"28","0.96693","0.96693","0.96693"
"29","0.969","0.969","0.969"
"30","0.97106","0.97106","0.97106"
"31","0.97012","0.97012","0.97012"
"32","0.97369","0.97369","0.97369"
"33","0.97313","0.97313","0.97313"
"34","0.97257","0.97257","0.97257"
"35","0.97294","0.97294","0.97294"
"36","0.97238","0.97238","0.97238"
"37","0.97426","0.97426","0.97426"
"38","0.97388","0.97388","0.97388"
"39","0.97388","0.97388","0.97388"
"40","0.97407","0.97407","0.97407"
"41","0.97388","0.97388","0.97388"
"42","0.97445","0.97445","0.97445"
"43","0.97426","0.97426","0.97426"
"44","0.97445","0.97445","0.97445"
"45","0.9752","0.9752","0.9752"
"46","0.97557","0.97557","0.97557"
"47","0.97539","0.97539","0.97539"
"48","0.97595","0.97595","0.97595"
"49","0.9767","0.9767","0.9767"
"50","0.97651","0.97651","0.97651"
"51","0.97632","0.97632","0.97632"
"52","0.9767","0.9767","0.9767"
"53","0.97614","0.97614","0.97614"
"54","0.9767","0.9767","0.9767"
"55","0.97708","0.97708","0.97708"
"56","0.9767","0.9767","0.9767"
"57","0.97632","0.97632","0.97632"
"58","0.97632","0.97632","0.97632"
"59","0.9767","0.9767","0.9767"
"60","0.9767","0.9767","0.9767"
"61","0.9767","0.9767","0.9767"
"62","0.97689","0.97689","0.97689"
"63","0.97689","0.97689","0.97689"
"64","0.9767","0.9767","0.9767"
"65","0.97689","0.97689","0.97689"
"66","0.97764","0.97764","0.97764"
"67","0.97708","0.97708","0.97708"
"68","0.97708","0.97708","0.97708"
"69","0.97689","0.97689","0.97689"
"70","0.97689","0.97689","0.97689"
"71","0.97689","0.97689","0.97689"
"72","0.97726","0.97726","0.97726"
"73","0.97726","0.97726","0.97726"
"74","0.97745","0.97745","0.97745"
"75","0.97745","0.97745","0.97745"
"76","0.97764","0.97764","0.97764"
"77","0.97764","0.97764","0.97764"
"78","0.97764","0.97764","0.97764"
"79","0.97802","0.97802","0.97802"
"80","0.9782","0.9782","0.9782"
"81","0.97839","0.97839","0.97839"
"82","0.9782","0.9782","0.9782"
"83","0.9782","0.9782","0.9782"
"84","0.97858","0.97858","0.97858"
"85","0.97877","0.97877","0.97877"
"86","0.97877","0.97877","0.97877"
"87","0.97877","0.97877","0.97877"
"88","0.97896","0.97896","0.97896"
"89","0.97914","0.97914","0.97914"
"90","0.97896","0.97896","0.97896"
"91","0.97914","0.97914","0.97914"
"92","0.97933","0.97933","0.97933"
"93","0.97933","0.97933","0.97933"
"94","0.97933","0.97933","0.97933"
"95","0.97914","0.97914","0.97914"
"96","0.97914","0.97914","0.97914"
"97","0.97914","0.97914","0.97914"
"98","0.97933","0.97933","0.97933"
"99","0.97914","0.97914","0.97914"
"100","0.97933","0.97933","0.97933"
"101","0.97933","0.97933","0.97933"
"102","0.97989","0.97989","0.97989"
"103","0.97989","0.97989","0.97989"
"104","0.97989","0.97989","0.97989"
"105","0.97952","0.97952","0.97952"
"106","0.97971","0.97971","0.97971"
"107","0.97971","0.97971","0.97971"
"108","0.97971","0.97971","0.97971"
"109","0.97989","0.97989","0.97989"
"110","0.97971","0.97971","0.97971"
"111","0.97971","0.97971","0.97971"
"112","0.97989","0.97989","0.97989"
"113","0.98008","0.98008","0.98008"
"114","0.98027","0.98027","0.98027"
"115","0.98027","0.98027","0.98027"
"116","0.98027","0.98027","0.98027"
"117","0.98027","0.98027","0.98027"
"118","0.98027","0.98027","0.98027"
"119","0.98046","0.98046","0.98046"
"120","0.98027","0.98027","0.98027"
"121","0.98027","0.98027","0.98027"
"122","0.98046","0.98046","0.98046"
"123","0.98065","0.98065","0.98065"
"124","0.98065","0.98065","0.98065"
"125","0.98083","0.98083","0.98083"
"126","0.98083","0.98083","0.98083"
"127","0.98083","0.98083","0.98083"
"128","0.98083","0.98083","0.98083"
"129","0.98102","0.98102","0.98102"
"130","0.98121","0.98121","0.98121"
"131","0.98121","0.98121","0.98121"
"132","0.98121","0.98121","0.98121"
"133","0.98121","0.98121","0.98121"
"134","0.98121","0.98121","0.98121"
"135","0.9814","0.9814","0.9814"
"136","0.98177","0.98177","0.98177"
"137","0.98177","0.98177","0.98177"
"138","0.98177","0.98177","0.98177"
"139","0.98177","0.98177","0.98177"
"140","0.98215","0.98215","0.98215"
"141","0.98234","0.98234","0.98234"
"142","0.98234","0.98234","0.98234"
"143","0.98253","0.98253","0.98253"
"144","0.98253","0.98253","0.98253"
"145","0.98253","0.98253","0.98253"
"146","0.98253","0.98253","0.98253"
"147","0.98253","0.98253","0.98253"
"148","0.98271","0.98271","0.98271"
"149","0.98271","0.98271","0.98271"
"150","0.9827132821083069","0.9827132821083069","0.9827132821083069"
