"Step","EXP00006 - train/loss","EXP00006 - train/loss__MIN","EXP00006 - train/loss__MAX"
"1","3.22303","3.22303","3.22303"
"2","1.96216","1.96216","1.96216"
"3","1.52336","1.52336","1.52336"
"4","1.35243","1.35243","1.35243"
"5","1.11176","1.11176","1.11176"
"6","0.98215","0.98215","0.98215"
"7","0.91408","0.91408","0.91408"
"8","0.85182","0.85182","0.85182"
"9","0.80217","0.80217","0.80217"
"10","0.78098","0.78098","0.78098"
"11","0.74845","0.74845","0.74845"
"12","0.73528","0.73528","0.73528"
"13","0.71963","0.71963","0.71963"
"14","0.69656","0.69656","0.69656"
"15","0.6925","0.6925","0.6925"
"16","0.66611","0.66611","0.66611"
"17","0.66852","0.66852","0.66852"
"18","0.65256","0.65256","0.65256"
"19","0.63828","0.63828","0.63828"
"20","0.64534","0.64534","0.64534"
"21","0.62858","0.62858","0.62858"
"22","0.64145","0.64145","0.64145"
"23","0.62065","0.62065","0.62065"
"24","0.60912","0.60912","0.60912"
"25","0.60923","0.60923","0.60923"
"26","0.60642","0.60642","0.60642"
"27","0.59995","0.59995","0.59995"
"28","0.60761","0.60761","0.60761"
"29","0.59446","0.59446","0.59446"
"30","0.59289","0.59289","0.59289"
"31","0.59681","0.59681","0.59681"
"32","0.5885","0.5885","0.5885"
"33","0.57944","0.57944","0.57944"
"34","0.58829","0.58829","0.58829"
"35","0.57868","0.57868","0.57868"
"36","0.5781","0.5781","0.5781"
"37","0.57889","0.57889","0.57889"
"38","0.56466","0.56466","0.56466"
"39","0.57008","0.57008","0.57008"
"40","0.55796","0.55796","0.55796"
"41","0.56619","0.56619","0.56619"
"42","0.57014","0.57014","0.57014"
"43","0.54496","0.54496","0.54496"
"44","0.55159","0.55159","0.55159"
"45","0.54564","0.54564","0.54564"
"46","0.55947","0.55947","0.55947"
"47","0.54564","0.54564","0.54564"
"48","0.54982","0.54982","0.54982"
"49","0.54509","0.54509","0.54509"
"50","0.54273","0.54273","0.54273"
"51","0.53264","0.53264","0.53264"
"52","0.54174","0.54174","0.54174"
"53","0.53304","0.53304","0.53304"
"54","0.53172","0.53172","0.53172"
"55","0.5409","0.5409","0.5409"
"56","0.53878","0.53878","0.53878"
"57","0.53389","0.53389","0.53389"
"58","0.53756","0.53756","0.53756"
"59","0.52717","0.52717","0.52717"
"60","0.53408","0.53408","0.53408"
"61","0.52734","0.52734","0.52734"
"62","0.52964","0.52964","0.52964"
"63","0.52955","0.52955","0.52955"
"64","0.53479","0.53479","0.53479"
"65","0.51455","0.51455","0.51455"
"66","0.50517","0.50517","0.50517"
"67","0.51665","0.51665","0.51665"
"68","0.52176","0.52176","0.52176"
"69","0.52498","0.52498","0.52498"
"70","0.51235","0.51235","0.51235"
"71","0.51316","0.51316","0.51316"
"72","0.51378","0.51378","0.51378"
"73","0.50996","0.50996","0.50996"
"74","0.50563","0.50563","0.50563"
"75","0.51775","0.51775","0.51775"
"76","0.50711","0.50711","0.50711"
"77","0.49853","0.49853","0.49853"
"78","0.50841","0.50841","0.50841"
"79","0.50545","0.50545","0.50545"
"80","0.51476","0.51476","0.51476"
"81","0.49668","0.49668","0.49668"
"82","0.49693","0.49693","0.49693"
"83","0.49657","0.49657","0.49657"
"84","0.49325","0.49325","0.49325"
"85","0.48887","0.48887","0.48887"
"86","0.48751","0.48751","0.48751"
"87","0.49452","0.49452","0.49452"
"88","0.48535","0.48535","0.48535"
"89","0.49727","0.49727","0.49727"
"90","0.4942","0.4942","0.4942"
"91","0.48821","0.48821","0.48821"
"92","0.48517","0.48517","0.48517"
"93","0.48618","0.48618","0.48618"
"94","0.48727","0.48727","0.48727"
"95","0.49052","0.49052","0.49052"
"96","0.47928","0.47928","0.47928"
"97","0.48279","0.48279","0.48279"
"98","0.4862","0.4862","0.4862"
"99","0.48094","0.48094","0.48094"
"100","0.47482","0.47482","0.47482"
"101","0.47054","0.47054","0.47054"
"102","0.47884","0.47884","0.47884"
"103","0.47733","0.47733","0.47733"
"104","0.46525","0.46525","0.46525"
"105","0.47914","0.47914","0.47914"
"106","0.47173","0.47173","0.47173"
"107","0.46781","0.46781","0.46781"
"108","0.4623","0.4623","0.4623"
"109","0.46166","0.46166","0.46166"
"110","0.4789","0.4789","0.4789"
"111","0.45662","0.45662","0.45662"
"112","0.45444","0.45444","0.45444"
"113","0.45077","0.45077","0.45077"
"114","0.45023","0.45023","0.45023"
"115","0.44591","0.44591","0.44591"
"116","0.45241","0.45241","0.45241"
"117","0.44589","0.44589","0.44589"
"118","0.44285","0.44285","0.44285"
"119","0.44419","0.44419","0.44419"
"120","0.43636","0.43636","0.43636"
"121","0.43919","0.43919","0.43919"
