"Step","EXP00006 - train/loss","EXP00006 - train/loss__MIN","EXP00006 - train/loss__MAX"
"122","0.42696","0.42696","0.42696"
"123","0.43495","0.43495","0.43495"
"124","0.43858","0.43858","0.43858"
"125","0.44101","0.44101","0.44101"
"126","0.44226","0.44226","0.44226"
"127","0.43045","0.43045","0.43045"
"128","0.43328","0.43328","0.43328"
"129","0.42478","0.42478","0.42478"
"130","0.4226","0.4226","0.4226"
"131","0.42445","0.42445","0.42445"
"132","0.42237","0.42237","0.42237"
"133","0.43303","0.43303","0.43303"
"134","0.42328","0.42328","0.42328"
"135","0.42158","0.42158","0.42158"
"136","0.41483","0.41483","0.41483"
"137","0.41175","0.41175","0.41175"
"138","0.4196","0.4196","0.4196"
"139","0.41469","0.41469","0.41469"
"140","0.41644","0.41644","0.41644"
"141","0.40954","0.40954","0.40954"
"142","0.40842","0.40842","0.40842"
"143","0.40381","0.40381","0.40381"
"144","0.39958","0.39958","0.39958"
"145","0.40176","0.40176","0.40176"
"146","0.40704","0.40704","0.40704"
"147","0.39804","0.39804","0.39804"
"148","0.39985","0.39985","0.39985"
"149","0.4016","0.4016","0.4016"
"150","0.4012","0.4012","0.4012"
